epsilon,bertf1_seed0_k1,bertf1_seed0_k5,bertf1_seed0_k10,bertf1_seed1_k1,bertf1_seed1_k5,bertf1_seed1_k10,bertf1_seed2_k1,bertf1_seed2_k5,bertf1_seed2_k10,bertprecision_seed0_k1,bertprecision_seed0_k5,bertprecision_seed0_k10,bertprecision_seed1_k1,bertprecision_seed1_k5,bertprecision_seed1_k10,bertprecision_seed2_k1,bertprecision_seed2_k5,bertprecision_seed2_k10,bertrecall_seed0_k1,bertrecall_seed0_k5,bertrecall_seed0_k10,bertrecall_seed1_k1,bertrecall_seed1_k5,bertrecall_seed1_k10,bertrecall_seed2_k1,bertrecall_seed2_k5,bertrecall_seed2_k10,rouge1_seed0_k1,rouge1_seed0_k5,rouge1_seed0_k10,rouge1_seed1_k1,rouge1_seed1_k5,rouge1_seed1_k10,rouge1_seed2_k1,rouge1_seed2_k5,rouge1_seed2_k10,rouge2_seed0_k1,rouge2_seed0_k5,rouge2_seed0_k10,rouge2_seed1_k1,rouge2_seed1_k5,rouge2_seed1_k10,rouge2_seed2_k1,rouge2_seed2_k5,rouge2_seed2_k10,rougeL_seed0_k1,rougeL_seed0_k5,rougeL_seed0_k10,rougeL_seed1_k1,rougeL_seed1_k5,rougeL_seed1_k10,rougeL_seed2_k1,rougeL_seed2_k5,rougeL_seed2_k10
0.1,0.7708180546760559,0.7818117141723633,0.781326174736023,0.7840473055839539,0.7828378677368164,0.7946335673332214,0.7737216353416443,0.7840200662612915,0.7796326279640198,0.7261648178100586,0.7413983941078186,0.7378826141357422,0.7421647310256958,0.7381900548934937,0.7588924169540405,0.7303515672683716,0.7460264563560486,0.7369486093521118,0.8213226795196533,0.8268848657608032,0.8302053213119507,0.8309398293495178,0.8332341909408569,0.8339075446128845,0.8225677609443665,0.8260911703109741,0.82756507396698,0.08849557522123894,0.11267605633802817,0.10588235294117647,0.10144927536231882,0.16806722689075632,0.10778443113772455,0.0915032679738562,0.1005586592178771,0.09302325581395349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07079646017699115,0.056338028169014086,0.07058823529411765,0.07246376811594202,0.1008403361344538,0.08383233532934133,0.06535947712418301,0.0782122905027933,0.05813953488372093
0.2,0.7614833116531372,0.7842230796813965,0.77146315574646,0.7915008068084717,0.7979881167411804,0.7861663699150085,0.786339521408081,0.7681254744529724,0.7732557058334351,0.7175367474555969,0.7482304573059082,0.7200781106948853,0.7603189945220947,0.7627105116844177,0.7472947835922241,0.7527110576629639,0.7201758623123169,0.7260547876358032,0.811164140701294,0.8238533735275269,0.8307454586029053,0.8253496885299683,0.8366872072219849,0.8293037414550781,0.8231132626533508,0.8229156136512756,0.8270204067230225,0.09900990099009901,0.09677419354838711,0.09859154929577464,0.09424083769633508,0.11000000000000001,0.07734806629834254,0.11764705882352941,0.09210526315789475,0.08888888888888889,0.0,0.0,0.014285714285714287,0.0,0.010101010101010102,0.011173184357541902,0.009900990099009901,0.0,0.015037593984962405,0.0594059405940594,0.07526881720430109,0.07042253521126761,0.06282722513089005,0.060000000000000005,0.05524861878453039,0.06862745098039215,0.05263157894736842,0.07407407407407407
0.5,0.8391583561897278,0.800756573677063,0.7673930525779724,0.8264870643615723,0.7574145793914795,0.7637156844139099,0.7704576849937439,0.751301646232605,0.7744895815849304,0.8052114844322205,0.7659180164337158,0.7148990631103516,0.7963805198669434,0.7042859792709351,0.7247353792190552,0.7295423746109009,0.7060123682022095,0.7306959629058838,0.8760936260223389,0.8389155268669128,0.8282071948051453,0.8589593172073364,0.8192129135131836,0.8071275949478149,0.8162350654602051,0.802799642086029,0.8238674402236938,0.13114754098360654,0.10434782608695652,0.09803921568627451,0.10655737704918034,0.10294117647058823,0.11510791366906474,0.07171314741035857,0.0975609756097561,0.12413793103448277,0.01652892561983471,0.008771929824561403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06557377049180327,0.0608695652173913,0.0784313725490196,0.04918032786885246,0.058823529411764705,0.07194244604316548,0.03187250996015937,0.0975609756097561,0.08275862068965517
1.0,0.8899074792861938,0.7918691635131836,0.7900283932685852,0.8838674426078796,0.807244062423706,0.7802071571350098,0.9132758378982544,0.8200129866600037,0.765457808971405,0.8787654638290405,0.751823902130127,0.7544277906417847,0.872374415397644,0.7706960439682007,0.738085150718689,0.9010696411132812,0.7947508096694946,0.7122137546539307,0.9013357162475586,0.8364204168319702,0.8291553258895874,0.8956673741340637,0.8474310636520386,0.827427864074707,0.9258172512054443,0.8469338417053223,0.8273059129714966,0.5517241379310345,0.09777777777777777,0.09523809523809525,0.3793103448275862,0.09836065573770492,0.09230769230769231,0.6896551724137931,0.11063829787234042,0.13445378151260504,0.07142857142857144,0.008968609865470852,0.0,0.03571428571428572,0.008264462809917356,0.0,0.35714285714285715,0.0,0.0,0.20689655172413793,0.07111111111111111,0.05291005291005291,0.20689655172413793,0.04918032786885246,0.061538461538461535,0.5862068965517241,0.05957446808510639,0.08403361344537816
2.0,0.9229179620742798,0.860849142074585,0.8315494656562805,0.9111430644989014,0.812353253364563,0.8860436677932739,0.9453459978103638,0.8527297377586365,0.8500362634658813,0.917542040348053,0.8434571623802185,0.8046985864639282,0.904347836971283,0.7737500071525574,0.8731132745742798,0.9475008845329285,0.8319143652915955,0.8273133635520935,0.9283571243286133,0.8789735436439514,0.860254168510437,0.9180411100387573,0.8550106287002563,0.8993628025054932,0.9432008862495422,0.8746135234832764,0.8740427494049072,0.7346938775510204,0.29126213592233013,0.10526315789473685,0.5185185185185186,0.12871287128712872,0.4067796610169491,0.7755102040816326,0.3235294117647059,0.23157894736842108,0.5106382978723404,0.0594059405940594,0.0,0.3076923076923077,0.03,0.10526315789473684,0.5106382978723404,0.06060606060606061,0.02150537634408602,0.6530612244897959,0.13592233009708737,0.05668016194331983,0.4814814814814815,0.07920792079207921,0.20338983050847456,0.6938775510204083,0.1764705882352941,0.12631578947368421
5.0,0.8386134505271912,0.8951970934867859,0.8425552248954773,0.9600414633750916,0.9262822270393372,0.8593581914901733,0.8405223488807678,0.8473123908042908,0.8590238690376282,0.8356357216835022,0.8772576451301575,0.8110446333885193,0.9523178935050964,0.9405800700187683,0.8481827974319458,0.8109994530677795,0.8522049784660339,0.8483521938323975,0.8416123986244202,0.9138855934143066,0.8766133785247803,0.9678913354873657,0.9124125838279724,0.8708319664001465,0.8722759485244751,0.8424757122993469,0.8699674606323242,0.25641025641025644,0.358974358974359,0.13675213675213677,0.7692307692307692,0.7727272727272727,0.3,0.25806451612903225,0.21621621621621623,0.24324324324324328,0.05405405405405405,0.05263157894736842,0.017241379310344827,0.5599999999999999,0.6190476190476191,0.025641025641025637,0.03278688524590164,0.11428571428571427,0.02777777777777778,0.2051282051282051,0.1794871794871795,0.07692307692307693,0.7307692307692307,0.7727272727272727,0.15,0.14516129032258066,0.21621621621621623,0.10810810810810811
10.0,0.8772937655448914,0.9352274537086487,0.870155394077301,0.9413338899612427,0.8335468769073486,0.8565270900726318,0.853376567363739,0.8750971555709839,0.8529967069625854,0.8642024993896484,0.9428305625915527,0.8618675470352173,0.9451930522918701,0.8324441313743591,0.8391997814178467,0.8528118133544922,0.8551671504974365,0.821109414100647,0.8907877802848816,0.9277459383010864,0.8786041736602783,0.9375060796737671,0.8346526622772217,0.874584972858429,0.8539421558380127,0.8959782123565674,0.8874607086181641,0.3880597014925373,0.6666666666666666,0.3448275862068965,0.6808510638297872,0.15384615384615385,0.22580645161290322,0.32558139534883723,0.2823529411764706,0.1958041958041958,0.12307692307692307,0.4782608695652174,0.03571428571428572,0.4444444444444445,0.1081081081081081,0.03333333333333333,0.0975609756097561,0.0,0.028368794326241138,0.2388059701492537,0.6666666666666666,0.20689655172413793,0.6382978723404256,0.10256410256410255,0.16129032258064516,0.27906976744186046,0.1411764705882353,0.08391608391608392
20.0,0.9582526683807373,0.9348266124725342,0.9257886409759521,1.0,0.9382197856903076,1.0,0.9999999403953552,0.9397993087768555,0.8634369373321533,0.9602742791175842,0.9430485367774963,0.9375847578048706,1.0,0.9372842311859131,1.0,0.9999999403953552,0.9463821649551392,0.851891815662384,0.9562394618988037,0.9267469048500061,0.9142857193946838,1.0,0.9391571283340454,1.0,1.0,0.933307409286499,0.8752992749214172,0.8260869565217391,0.6666666666666666,0.48888888888888893,1.0,0.6538461538461539,1.0,1.0,0.5454545454545454,0.2898550724637681,0.6363636363636365,0.4782608695652174,0.32558139534883723,1.0,0.48,1.0,1.0,0.42857142857142855,0.029850746268656712,0.7826086956521738,0.6666666666666666,0.48888888888888893,1.0,0.6153846153846153,1.0,1.0,0.5454545454545454,0.14492753623188406
50.0,1.0,0.932908833026886,0.9825141429901123,0.9352281093597412,1.0,0.9301382899284363,1.0,0.970174252986908,0.9440097212791443,1.0,0.9412722587585449,0.986382007598877,0.9404845237731934,1.0,0.9195629358291626,1.0,0.9757686853408813,0.9472579956054688,1.0,0.9246927499771118,0.978676438331604,0.930030107498169,1.0,0.940959632396698,1.0,0.9646435976028442,0.9407837390899658,1.0,0.6222222222222222,0.8979591836734694,0.5909090909090908,1.0,0.6274509803921569,1.0,0.6666666666666666,0.7659574468085107,1.0,0.372093023255814,0.851063829787234,0.3333333333333333,1.0,0.44897959183673464,1.0,0.6511627906976744,0.5333333333333332,1.0,0.6222222222222222,0.8979591836734694,0.5454545454545454,1.0,0.6274509803921569,1.0,0.6666666666666666,0.723404255319149
100.0,0.9999999403953552,0.9527204036712646,0.9825141429901123,0.9999999403953552,0.9999999403953552,0.9348266124725342,1.0,1.0,1.0,0.9999999403953552,0.9561967253684998,0.9863820672035217,0.9999999403953552,0.9999999403953552,0.9267469644546509,1.0,1.0,1.0,1.0,0.9492692351341248,0.978676438331604,1.0,1.0,0.9430485367774963,1.0,1.0,1.0,1.0,0.7346938775510204,0.8979591836734694,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,0.5531914893617021,0.851063829787234,1.0,1.0,0.4782608695652174,1.0,1.0,1.0,1.0,0.6938775510204083,0.8979591836734694,1.0,1.0,0.6666666666666666,1.0,1.0,1.0
